Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Views (future),Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"386197869537",Paparazzi Silver Tone Necklace With Silver Heart And A Pink Cat Eye Glass Center,,Paparazzi Silver Tone Necklace With Silver Heart A,"1","FIXED_PRICE","USD",9.95,,,9.95,"0","","0","","Oct-13-23 18:43:31 PDT","Aug-13-24 18:43:31 PDT","Jewelry Sets","50692","","","New with tags","","","","","","US","","",""
"386197878645",Chunky & Heavy Thick Multi Color Beaded Tribal Necklace W/ Bracelet Fashion Set,,Chunky & Heavy Thick Multi Color Beaded Tribal Nec,"1","FIXED_PRICE","USD",9.95,,,9.95,"0","","0","","Oct-13-23 18:54:14 PDT","Aug-13-24 18:54:14 PDT","Jewelry Sets","50692","","","Pre-owned","","","","","","US","","",""
"386197886580",New Sophia And Kate Collection Multicolor Acrylic Crystal Bib Necklace Half...,,New Sophia And Kate Collection Multicolor Acrylic,"1","FIXED_PRICE","USD",9.95,,,9.95,"0","","0","","Oct-13-23 19:01:56 PDT","Aug-13-24 19:01:56 PDT","Necklaces & Pendants","155101","","","New with tags","","","","","","US","","",""
"386197935584",Black Shiny Glitter Bracelet For Fashion Bangel Unbranded ,,Black Shiny Glitter Bracelet For Fashion Bangel Un,"1","FIXED_PRICE","USD",9.95,,,9.95,"0","","1","","Oct-13-23 19:30:29 PDT","Aug-13-24 19:30:29 PDT","Bracelets & Charms","261987","","","Pre-owned","","","","","","US","","",""
"386197943247",Chain Link Half Gold Tone And White And Pink Enamel Pair Of Fashion Statement...,,Chain Link Half Gold Tone And White And Pink Ename,"1","FIXED_PRICE","USD",14.95,,,14.95,"0","","0","","Oct-13-23 19:36:29 PDT","Aug-13-24 19:36:29 PDT","Bracelets & Charms","262003","","","Pre-owned","","","","","","US","","",""
"386200064397",Silver Tone Fashion Clamp Bracelet,,Silver Tone Fashion Clamp Bracelet,"1","FIXED_PRICE","USD",9.95,,,9.95,"0","","4","","Oct-14-23 17:47:27 PDT","Aug-14-24 17:47:27 PDT","Bracelets & Charms","261987","","","Pre-owned","","","","","","US","","",""
"386200155882",Leather Bracelet With Helm Steering Wheel Metal Design And A Tension Clasp,,Leather Bracelet With Helm Steering Wheel Metal De,"1","FIXED_PRICE","USD",6.95,,,6.95,"0","","0","","Oct-14-23 18:19:02 PDT","Aug-14-24 18:19:02 PDT","Bracelets & Charms","261987","","","Pre-owned","","","","","","US","","",""
"386200181276",Black String Wrap Fashion Bracelet With Acrylic Color Stone Bow Design In Black ,,Black String Wrap Fashion Bracelet With Acrylic Co,"1","FIXED_PRICE","USD",9.99,,,9.99,"0","","0","","Oct-14-23 18:40:49 PDT","Aug-14-24 18:40:49 PDT","Bracelets & Charms","261987","","","Pre-owned","","","","","","US","","",""
"386206787501",holiday barlow brooch Poinsettia Basket ,,holiday barlow brooch Poinsettia Basket,"1","FIXED_PRICE","USD",9.95,,,9.95,"0","","4","","Oct-17-23 13:57:14 PDT","Jul-17-24 13:57:14 PDT","Brooches & Pins","262004","","","Pre-owned","","","","","","US","","",""
"386338053845","Sugarfix Red Green Pink Tassel Necklace 28"" to 30""In Blue Marble Bead Gold Tone",,"Sugarfix Red Green Pink Tassel Necklace 28"" to 30""","1","FIXED_PRICE","USD",9.95,,,9.95,"0","","2","","Dec-01-23 17:43:03 PST","Aug-01-24 17:43:03 PDT","Necklaces & Pendants","155101","","","Pre-owned","","","","","","US","","",""
"386356777596",Nike Air Force One “Triple White” Size 15 Men’s Leather Basketball Shoes,,Nike Air Force One “Triple White” Size 15 Men’s Le,"1","FIXED_PRICE","USD",39.95,,,39.95,"0","","0","","Dec-04-23 11:15:40 PST","Aug-04-24 11:15:40 PDT","Athletic Shoes","15709","","","Pre-owned","","","","","","US","","",""
"386356869031",Far Cry 5 - PlayStation 4 Standard Edition - Rated M,,Far Cry 5 - PlayStation 4 Standard Edition - Rated,"1","FIXED_PRICE","USD",9.99,,,9.99,"0","","0","","Dec-04-23 11:38:44 PST","Aug-04-24 11:38:44 PDT","Video Games","139973","","","Like New","","","","","6027052356","US","0887256028824","",""
"386357083696","Game Cases Only - Nintendo Switch, Xbox One",,"Game Cases Only - Nintendo Switch, Xbox One","1","FIXED_PRICE","USD",14.99,,,14.99,"0","","","","Dec-04-23 12:25:30 PST","Aug-04-24 12:25:30 PDT","Original Game Cases & Boxes","182175","","","Like New","","","","","","US","","",""
"386357159161",Jewels by Park Lane Genuine BRITE Seashell & Faux Pearl Necklace & Earrings Set,,Jewels by Park Lane Genuine BRITE Seashell & Faux,"1","FIXED_PRICE","USD",19.95,,,19.95,"0","","3","","Dec-04-23 12:39:48 PST","Aug-04-24 12:39:48 PDT","Jewelry Sets","50692","","","Pre-owned","","","","","","US","","",""
"386357313095",H&M Pink Bubble Lucite Fashion And Statement Necklace,,H&M Pink Bubble Lucite Fashion And Statement Neckl,"0","FIXED_PRICE","USD",9.95,,,9.95,"1","","8","","Dec-04-23 13:10:23 PST","Aug-04-24 13:10:23 PDT","Necklaces & Pendants","155101","","","Pre-owned","","","","","","US","","",""
"386365688502",Gold Tone Fashion Necklace With White And Brown Faux Stone Stamped (NY) 13”,,Gold Tone Fashion Necklace With White And Brown Fa,"1","FIXED_PRICE","USD",9.95,,,9.95,"0","","","","Dec-05-23 17:07:53 PST","Aug-05-24 17:07:53 PDT","Necklaces & Pendants","155101","","","Pre-owned","","","","","","US","","",""
"386365774153",Blossom Beaded Long Vintage Fashion Choker Necklace Rainbow Colors 24” Inch,,Blossom Beaded Long Vintage Fashion Choker Necklac,"1","FIXED_PRICE","USD",9.99,,,9.99,"0","","1","","Dec-05-23 17:20:51 PST","Aug-05-24 17:20:51 PDT","Necklaces & Pendants","155101","","","Pre-owned","","","","","","US","","",""
"386365792872",Coldwater Creek Blue Acrylic Fashion And Statement Necklace 19”,,Coldwater Creek Blue Acrylic Fashion And Statement,"1","FIXED_PRICE","USD",12.4,,,12.4,"0","","1","","Dec-05-23 17:30:22 PST","Aug-05-24 17:30:22 PDT","Necklaces & Pendants","155101","","","Pre-owned","","","","","","US","","",""
"386366125394",Vintage Art Glass Lucite MOP Bead Necklace Coral Pink Smokey Fall Beachy Tones,,Vintage Art Glass Lucite MOP Bead Necklace Coral P,"1","FIXED_PRICE","USD",9.95,,,9.95,"0","","0","","Dec-05-23 18:32:23 PST","Aug-05-24 18:32:23 PDT","Necklaces & Pendants","262013","","","Pre-owned","","","","","","US","","",""
"386366191332",Robert Rose Vintage Layered Wood Statement Necklace With Silver Tone Pendant 11”,,Robert Rose Vintage Layered Wood Statement Necklac,"1","FIXED_PRICE","USD",12.95,,,12.95,"0","","1","","Dec-05-23 18:42:41 PST","Aug-05-24 18:42:41 PDT","Necklaces & Pendants","262013","","","Pre-owned","","","","","","US","","",""
